"raw_text","aspectTerms"
"$160 for 2 filets, 2 sides, an appetizer and drinks.","[{'term': 'filets', 'polarity': 'neutral'}, {'term': 'sides', 'polarity': 'neutral'}, {'term': 'appetizer', 'polarity': 'neutral'}, {'term': 'drinks', 'polarity': 'neutral'}]"
"$20 for all you can eat sushi cannot be beaten.","[{'term': 'sushi', 'polarity': 'neutral'}]"
"$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.","[{'term': 'sushi', 'polarity': 'positive'}, {'term': 'sushi places', 'polarity': 'positive'}, {'term': 'quality', 'polarity': 'positive'}]"
"$6 and there is much tasty food, all of it fresh and continually refilled.","[{'term': 'food', 'polarity': 'positive'}]"
"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).","[{'term': 'glasses of champagne', 'polarity': 'negative'}, {'term': 'bottle of wine', 'polarity': 'negative'}, {'term': 'after dinner drinks', 'polarity': 'negative'}]"
"(Always ask the bartender for the SEASONAL beer!!!","[{'term': 'SEASONAL beer', 'polarity': 'positive'}, {'term': 'bartender', 'polarity': 'neutral'}]"
"(and I have eaten my share) Which impresses me for having such a large amount of people to serve.","[{'term': 'serve', 'polarity': 'positive'}]"
"(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.","[{'term': 'food', 'polarity': 'neutral'}, {'term': 'busboy', 'polarity': 'negative'}, {'term': 'waiter', 'polarity': 'negative'}, {'term': 'cheese', 'polarity': 'negative'}, {'term': 'pasta', 'polarity': 'negative'}, {'term': 'water and wine glasses', 'polarity': 'negative'}, {'term': 'wine', 'polarity': 'neutral'}, {'term': 'meal', 'polarity': 'neutral'}]"
"- for dessert we split chocolate cake and vanilla gelato (with espresso), which were tasty, but I thought a bit overpriced.","[{'term': 'chocolate cake', 'polarity': 'conflict'}, {'term': 'vanilla gelato (with espresso)', 'polarity': 'conflict'}, {'term': 'dessert', 'polarity': 'conflict'}]"
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.","[{'term': 'bread', 'polarity': 'positive'}, {'term': 'pizza', 'polarity': 'positive'}, {'term': 'margarite pizza with cold prosciutto and baby arugula on top', 'polarity': 'neutral'}, {'term': 'salad', 'polarity': 'neutral'}, {'term': ""Peter's Favourite pizza with prosciutto and baby arugula"", 'polarity': 'neutral'}]"
"20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other.","[{'term': 'reservation', 'polarity': 'negative'}, {'term': 'cocktails', 'polarity': 'positive'}, {'term': 'surroundings', 'polarity': 'positive'}]"
"A Thai restaurant out of rice during dinner?","[{'term': 'rice', 'polarity': 'neutral'}, {'term': 'dinner', 'polarity': 'neutral'}]"
"A bit breezy up there on the mezzanine from the wind coming from the tracks.","[{'term': 'mezzanine', 'polarity': 'negative'}]"
"A cheap eat for NYC, but not for dosa.","[{'term': 'dosa', 'polarity': 'negative'}, {'term': 'eat', 'polarity': 'positive'}]"
"A cool bar with great food, and tons of excellent beer.","[{'term': 'bar', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'beer', 'polarity': 'positive'}]"
"A cool place to hang with your friends for a couple of healthy drinks and desserts.","[{'term': 'place', 'polarity': 'positive'}, {'term': 'drinks', 'polarity': 'positive'}, {'term': 'desserts', 'polarity': 'positive'}]"
